French | English
"salarial | pay, paid, salary"
"aborder | work, brought, worked"
du fond du cœur | with all my heart
serviable | helpful
arrangeant | accommodating
escabeau | stepladder
perceuse | drill
embêterait | would bother
tondeuse | lawnmower
du coup | so
"quitte | leave, am leaving, leaving"
"arranger | arrange, fix, adjusting"
"nourrir | feed, feeding"
"absence | absence, lack, presumption of death"
"à l'improviste | unexpected, unexpectedly"
"héberger | host, house, hosting"
gonflable | inflatable
"dépanner | help out, helping out"
eh bien | well
"essentiel | essential, indispensable, key"
législatif | legislative
démocratie | democracy
"à présent | at present, now"
"prétendre | claimed, intend, claim"
renforcer | strengthen
"difficulté | difficulty, problem, trouble"
éducatif | education
"reprendre | retake, getting, (to) retake"
en tout cas | anyway
comme je le disais | as I said
"intervenir | (to) intervene, (to) take place, (to) be reached"
"engager | retain, hiring"
durable | sustainable
"mais enfin | seriously, come on"
pouvoir d'achat | purchasing power
"mesure | measures, measure, is"
inflation | inflation
"hausse | hike, pay, pays"
"croissance | increase, growth"
mandat | term
"présidentiel | presidential election, presidential"
élire | elect
"pensées | thoughts, minds"
téléporter | teleport
invisible | invisible
Moyen Âge | Middle Ages
chevalier | knight
"souhait | wish, wishes"
sirène | mermaid
conte de fées | fairy tale
"génie | genie, genius"
imaginaire | imaginary
licorne | unicorn
de manière à | in order to
milliardaire | billionaire
paradisiaque | idyllic
libre cours | run wild
rêveur | dreamer
"quoi qu'il en soit | anyway, regardless"
convenance | convenience
surclassement | upgrade
expiré | expired
auprès | to
nocturne | night
vestiaire | coat check
audioguide | audio guide
"ennuierait | would bother, would mind"
gentillesse | kindness
à la place | instead
"bonne dégustation | enjoy your meal, enjoy"
"taxe | taxation, (I) tax, (he/she/it) taxes"
confirmation | confirmation
excusez-moi de vous déranger | sorry to bother you
"transfert | downloading, transfer"
"inclure | (to) enclose, (to) include, (to) insert"
compartiment | compartment
se restaurer | have something to eat
consigne | baggage storage
pas de souci | no worries
ça ne fait rien | it doesn't do anything
ce n'est rien | it's nothing
"démarrer | (to) put on a spurt, get started, drive"
garagiste | mechanic
"rayer | crossed, score, delete"
"s'enfuir | run, flying, running"
bocal | fish bowl
"étendre | hang, stretch"
"sèche-linge | clothes dryer, dryer"
repassage | ironing
"forcément | has to be, have to be"
"déborder | boiled, spilled, ran"
gronder | scold
cramer | burn to a crisp
petit à petit | little by little
commerce | business
"mener | heads, (to) carry out, (to) lead"
rénovation | renovation
réhabiliter | restore
métamorphosé | transformed
"travaux | construction, working"
"construction | building, manufacture, construction"
grue | crane
chantier | construction site
manifestant | protesting
"constater | to see, see, to notice"
gentrification | gentrification
mobiliser | mobilize
bobo | pain
hôtel particulier | mansion
"changé | changed, exchanged, switched"
berger | shepherd
sabbatique | sabbatical
"s'épanouir | developed, develop"
refusé | refused
"déterminer | (to) work out, shape, (to) determine"
"proposition | proposal, offer"
à quel point | to what extent
bilan | evaluation
"modifier | changed, change, changing"
pression | pressure
"concevoir | laid, work, design"
"ambiance | atmosphere, mood"
gestion | management
motivation | motivation
burn-out | burnout
renoncer | give up
domaine | field
"optimiste | optimist, an optimist"
consoler | console
draguer | hit on
problèmes de cœur | relationship problems
"fidèle | loyal, faithful, regular"
naïf | naive
de tout cœur | wholeheartedly
"facile à vivre | easy-going, easygoing"
"réconforter | encourage, comfort"
"éprouver | experiences, feel, felt"
compréhensif | understanding
"à part | except, apart, aside"
à cœur ouvert | from the heart
"chagrin | pain, grief"
au final | in the end
face | heads
la mer à boire | that hard
dépaysé | out of place
"s'orienter | finding our way, find one's way"
preuves | evidence
"congés | leave, days off"
pendaison de crémaillère | housewarming party
barrière | barrier
"formel | flat, categorical, express"
"marrant | funny, fun"
paperasse | paperwork
"le nécessaire | what was necessary, what is necessary"
"administration | civil service, management, administration"
"fonctionnaire | government official, officer, civil servant"
"s'arranger | find a way, pans, pan"
bout du monde | side of the world
conteneur | storage container
"déballer | unpack, unpacking"
déménagement | move
"morale | moral, mental, morality"
subtil | subtle
écolier | schoolchild
pertinent | relevant
"réciter | recite, deliver"
persévérant | persistent
lent | slow
lièvre | hare
méprisant | scornful
prévoyant | judging
"travailleur | workbox, hardworking, worker"
dut | had to
insouciant | carefree
alla | went
flatter | flatter
bec | beak
corbeau | crow
"plume | feather, (I) pluck, (I) pluck/am plucking"
renard | fox
fable | fable
littéraire | literary
ouf | phew
"oral | oral, oral exam"
rattrapage | retake an exam
"tricher | cheat, cheating"
mention | mention
pro | vocational
"proviseur | master, principal"
"tel | like, such"
particulier | private
"tels | such, likes"
terminale | twelfth grade
svt | biology
"eps | PE, pe."
philosophie | philosophy
brevet | certificate
"épreuve | test, challenge"
"redoubler | repeat a grade, repeating, repeat"
"vu que | since, considering that"
conseiller d'orientation | guidance counselor
"apprentissage | learning, apprenticeship, apprenticeships"
"étant donné | considering, given"
"discipliné | disciplined, well-behaved"
"principale | main, lead, principal"
accessible | accessible
"bloquer | heads, stopped, ties"
interactif | interactive
réseau | network
"donnée | gone into action, informed on, produced a crop"
sauvegarder | save
"effacer | erase, worn"
viser | aim
favori | favorite
page web | webpage
fiable | reliable
"moniteur | instructor, monitor, counselor"
câble | cable
navigateur | browser
matériel informatique | computer hardware
disque dur | hard drive
"téléphoner | (to) telephone, phones, (to) use the telephone"
évoluer | change
"reconversion | change, career change"
jeunes | young
"compagne | (female) companion, mate, partner"
"emménager | moves, move"
"compagnon | fellow of the craft, partner, journeyman"
"crèche | day-care center, daycare"
éternité | eternity
"euh | hmm, uh, um"
"reconnu | admitted, recognized, recognize"
"hein | okay, huh"
"étonnant | surprising, amazing"
séparation | separation
"quitterait | might leave, would leave, leave"
alors là | now that
"passionnément | passionately, intensely"
"joie | joy, pleasure"
"envisager | considered, view"
évoquer | bring up
exclusif | exclusive
ah bon | oh really
comme c'est | how
presse à scandale | tabloids
s'abonner | subscribing
paparazzi | paparazzi
ragot | gossip
tout est bien qui finit bien | all's well that ends well
"donjon | castle tower, keep, kept"
fée | fairy
"posséder | offered, offer, master"
épée | sword
"tandis que | whereas, while, as"
soudain | suddenly
potion | potion
sorcière | witch
sorcier | wizard
"transformer | turn into, make"
il était une fois | once upon a time
"lointain | far away, faraway"
royaume | kingdom
lorsque | when
"conte | tale, story"
magicien | magician
légende | legend
magie | magic
"dévorer | ate, wolf"
hormis | apart from
fascinant | fascinating
"graphique | graphic, graphics"
si ce n'est | other than
"a priori | on the face of it, at first glance, a priori"
adaptation | adaptation
gag | gag
hilarant | hilarious
"bulle | speech bubble, bubble"
dessinateur | illustrator
scénariste | writer
fan | fan
"référence | reference, reference number, (I) classify/am classifying"
"bd | comic books, comic book"
"spécialisé | learned, expert"
"libraire | bookstore owner, bookshop owner, bookseller"
pour finir | lastly
de façon à ce que | so
"récupérer | getting, pick up, get"
"délai | time frame, deadline"
"quant | as, quant"
état civil | Office of Vital Records
livret de famille | family record book
une fois que | when
acte de mariage | marriage certificate
"renouveler | renew, to renew"
afin que | so that
titre de séjour | residence permit
préfecture | administrative office
deuxièmement | second
tout d'abord | first of all
formule de politesse | letter closing
bureaucratie | bureaucracy
"démarche | process, walk"
"administratif | official, administrative"
"étape | stage, step, stop"
"avant tout | first, above all, first and foremost"
"afin | so that, so"
justificatif de domicile | proof of address
requis | required
affolé | distraught
"habit | article of clothing, tail"
de toute urgence | urgently
dans les plus brefs délais | as soon as possible
"traiteur | caterer, catering"
pièce montée | croquembouche
impérativement | imperatively
"souci | worrying, worries, worry"
demoiselle d'honneur | bridesmaid
"moindre | slightest, lesser, least"
"tranquillement | quietly, slowly, calmly"
à plus tard | see you later
"tarder | take, taken, delay"
"se calmer | calm down, to calm down"
rassuré | reassured
craignons | are worried
orageux | stormy
incertain | iffy
"craindre | to worry, to fear"
"inquiétude | worries, worry, worrying"
insérer | insert
antibiotique | antibiotic
"hydrater | moisturize, to moisturize"
cicatrice | scar
nez qui coule | runny nose
symptôme | characteristic
nausée | nausea
"ressentir | experiences, (to) feel, feel"
"comprimé | pill, cut"
béquilles | crutches
musculaire | muscle
"soulager | give relief, to give relief"
pommade | ointment
entorse | sprain
homéopathie | homeopathy
"vacciner | vaccinated, vaccines"
"consulter | to see, consult, see"
ok | OK
à plus | see you
reparler | talk again
à la bourre | late
voilà quoi | there you have it
coq à l'âne | one subject to another
flemme | not feel like doing much
boss | boss
rien à voir | this is unrelated
"ras-le-bol | sick of it, sick"
"virer | sack, can, can't"
"failli | almost, nearly"
pas terrible | not great
bosser | work
"dis donc | say, wow"
bon vieux temps | good old days
trésor | treasure
"repense | think back, reminisce"
mélancolique | wistful
autocollant | sticker
à carreaux | plaid
théière | teapot
inoubliable | unforgettable
"collectionner | save, saved, collecting"
trou de mémoire | lapse of memory
vinyle | record
bouquin | book
"dames | ladies, checkers"
"dénicher | run, runs, turn"
déguisement | costume
autrefois | at one time
vintage | vintage
brocante | flea market
chiner | go thrifting
vieillerie | old-fashioned thing
épouvantable | awful
"fade | boring, bland"
poireau | leek
"écœurant | sickening, sick, disgusting"
périmé | expired
"beurk | yuck, ew"
"gras | fat, fatty"
légèrement | slightly
"infect | rotten, revolting"
chips | chips
"se passer de | go, going, don't"
"accro | wild, hooked"
"croustillant | crunchy, crusty"
à la vapeur | steamed
se régaler | enjoy it
"appétissant | inviting, attractive"
"tartine | piece of bread and butter, slice of bread and butter, toast"
croquant | crunchy
tonne | ton
en fin de compte | ultimately
"ce n'est pas | he's not, she's not, it's not"
au milieu de nulle part | in the middle of nowhere
immédiat | immediate
atterrissage | landing
carburant | fuel
décollage | take-off
équipage | crew
"indiquer | shown, said, record"
côte à côte | next to each other
malentendu | misunderstanding
éclaircissement | clarification
issue | emergency exit
terminal | terminal
"s'adresser | to speak, speak"
bien compris | understood correctly
escalator | escalator
"attente | expectations, waiting, wait"
navette | shuttle
"compréhensible | easy to understand, understandable"
c'est bien ça | is that right
mécanique | mechanical
assurance voyage | travel insurance policy
"saisir | caught, take, use"
incident | incident
embêté | bugged
"attaché | tied, fond"
embêtant | irritating
vexer | offend
"se réconcilier | made, make, makes"
"se retrouver | meet up again, finished"
"retrouvé | found, recovered"
remords | remorse
"fâché | upset, mad"
"taquiner | tease, teasing"
"se fâcher | fallen, fall, get mad"
amèrement | bitterly
idéal | ideal
"lâche | cowardly, drops"
"sois | am, will be, be"
pote | buddy
bande | group
"traîner | hang out, lying around"
idée reçue | preconception
"remettre | return, (to) put in another, gave"
réalité | reality
"confondre | (to) merge, (to) confuse, (to) expose"
convaincu | convinced
dans le doute | when in doubt
"accueillant | friendly, inviting, receiving"
démesuré | oversized
souriant | smiling
cowboy | cowboy
à prouver | to be seen
"réputation | name, record, reputation"
"prouver | demonstrate, tried, trying"
persuadé | convinced
râleur | complainer
grincheux | grumpy
comment ça | what do you mean
béret | beret
accordéon | accordion
cuisse de grenouille | frog leg
marinière | sailor shirt
"cliché | negative, cut, cliché"
folklorique | traditional
absurde | absurd
sceptique | skeptical
en congé | on leave
nécessairement | necessarily
soulagé | relieved
ponctuel | punctual
s'entraider | to help each other
licencier | to fire
facultatif | optional
c'est à | it's up to
exemplaire | copy
désorganisé | disorganized
se charger | to take on
à temps | in time
irresponsable | irresponsible
impératif | imperative
ambitieux | ambitious
s'impliquer | to get involved
associé | business partner
en cours | in progress
obligatoirement | imperatively
priorité | priority
s'organiser | to get organized
"prévenu | let know, warned"
compliquer | complicate
blessant | hurtful
arrogant | arrogant
colère | anger
caractère | temperament
têtu | stubborn
briser | to shatter
sachant | knowing
pour toujours | forever
exceptionnel | exceptional
affectueux | affectionate
perplexe | puzzled
"ayant | getting, having"
"à ne pas | not to, to not"
du mal | trouble
avertir | to warn
rassurer | reassure
"étant | being, having"
également | also
méfiant | wary
"se ridiculiser | making a fool of himself, make a fool of himself"
avec un peu de chance | with a little luck
frileux | sensitive to the cold
coup de soleil | sunburn
pluvieux | rainy
"verglas | black ice, ice"
tailler | to trim
buisson | bush
étang | pond
il se pourrait | it could be
sécheresse | drought
faner | to wilt
arc-en-ciel | rainbow
fané | wilted
mûrir | to ripen
blé | wheat
brise | breeze
chaleur | heat
mûri | ripened
s'éclaircir | to clear up
brume | mist
se couvrir | to get cloudy
dégagé | clear
rigoureusement | rigorously
enquête | investigation
pistolet | gun
témoignage | testimony
indice | clue
"injustement | unjustly, unfairly"
justice | justice
affirmer | to assert
jury | jury
témoin | witness
meurtrier | murderer
avouer | confess
condamner | sentences
"empoisonner | to poison, poison, poisoning"
précisément | precisely
bagarre | fight
arme | weapon
armé | armed
cambriolage | burglary
ce à quoi | what
commettre | to commit
délit | offense
preuve | evidence
"quasiment | nearly, almost, practically"
dégât | damage
destruction | destruction
polaire | polar
en danger | endangered
"d'ici | away, within, by"
"serons | will be, are"
espèce | species
aurons | will have
"préserver | protect, preserve, protected"
désormais | from now on
radicalement | radically
agir | (to) take action
prochainement | shortly
"énergie | power, energy, drive"
"écologique | green, ecological"
nucléaire | nuclear
désastre | disaster
réchauffement | (global) warming
écologie | ecology
en revanche | on the other hand
s'éloigner | to move away
débat | debate
ici même | right here
télétravail | work from home
"desquels | which, to which"
"desquelles | which, which one, to whom"
coin | area
"duquel | which, from which, to which"
mode de vie | lifestyle
"incontestable | decided, indisputable"
rural | rural
il vaut mieux | it's better
"auxquelles | that, whom, about"
"auxquels | that, which, whom"
"urbain | urban, town car, urbane"
centre commercial | mall
béton | concrete
à laquelle | about
"auquel | that, whom, which"
résidentiel | residential
"heure de pointe | peak, rush hour"
"à vrai dire | as a matter of fact, to tell the truth, to be honest"
bande originale | original soundtrack
phénoménal | phenomenal
"sans aucun doute | definitely, without a doubt"
"interpréter | play, played, plays"
audacieux | daring
"phénomène | phenomenon, phenom"
agréablement | pleasantly
"assumer | (to) accept, (to) take, (to) come to terms with"
"franc | frank, honest, straight"
toutefois | nevertheless
"pour ma part | as for me, as far as I am concerned"
"rock | rock (music), rocks"
bouleverser | to deeply move
"rythme | rhythm, pace, rate"
"carrément | totally, really, actually"
critiquer | to criticize
"composition | line-up, composition, make-up"
compositeur | composer
"penses | thinking, are thinking, think"
"à l'abandon | neglected, abandoned"
jardinier | gardener
haie | hedges
"parvenir | manage, reach"
entretenir | to maintain
capacité | ability
"jardiner | garden, to garden"
klaxon | horn
crevé | flat
pare-choc | bumper
"entièrement | entirely, fully, completely"
vitre | window
poignée | handle
tuyau | pipe
incompétent | incompetent
tâche | task
compétent | competent
"bricoler | around, round, fix"
bricoleur | handy
rénover | to renovate
parquet | hardwood floor
se cogner | to hit
seau | bucket
flaque | puddle
tombé | fell
se précipiter | to rush
pelle | shovel
"et alors | so what, who cares"
"mordu | bit, bitten"
embêter | to bug
bouilloire | kettle
siffler | to whistle
désobéir | to disobey
trébucher | to trip
tabouret | stool
hurler | to scream
obéi | obeyed
éclater | to burst
obéir | to obey
viande hachée | ground meat
moelleux | soft
couvercle | lid
torchon | dish towel
"essuyer | wipe, dry, weather"
les mains vides | empty-handed
vachement | really
décongeler | to thaw
"lentilles | lentils, lenses, lentil"
piquant | spicy
"serais | would be, were, would've"
"aurais | would have, had"
à la dernière minute | at the last minute
aubergine | eggplant
courgette | zucchini
bien payé | well-paid
promu | promoted
défaut | weakness
dynamique | dynamic
fainéant | lazy
"considérer | (to) find, (to) deem, (to) think"
inexpérimenté | inexperienced
coup de main | hand
qualifié | qualified
ressources humaines | Human Resources
d'après | according to
comptabilité | accounting
qualification | qualification
entretien d'embauche | job interview
salarié | salaried employee
embaucher | to hire
"secteur | sector, area"
"exclure | except, rules, expel"
emploi du temps | schedule
"chargé | hectic, responsible, busy"
"moyenne | ability, mean, medium-sized"
"hors de question | out of the question, no way"
insuffisant | inadequate
décevant | disappointing
"favorable | fair, in favor"
délégué | representative
"représenter | represent, spells, spell"
autoriser | to give permission
récompenser | to reward
féliciter | to congratulate
encourageant | encouraging
"dérangerait | would bother, would mind"
"permission | passed, left, leave"
"surveillant | watching, school monitor"
"bourse | stock exchange, scholarship"
"exigeant | demanding, taking, strict"
à l'aise | comfortable
"geste | act, gesture, movement"
famille d'accueil | host family
séjour linguistique | study abroad
médiocre | mediocre
"épeler | spell, to spell, spells"
"échouer | fallen, fall, broke"
"acquérir | develop, learn, obtained"
dû | had to
"davantage | more, longer"
attentif | attentive
"profiter | benefit, enjoy, take advantage"
"mentir | lie, to lie, lied"
bonne continuation | take care
bon courage | good luck
à la prochaine | see you next time
"adieu | farewell, goodbye"
"rentrée | first day of school, went back, went home"
matelas | mattress
couette | comforter
défense de | No
"larme | drop, tear"
rond-point | roundabout
sens interdit | do not enter
"freiner | (to) curb, (to) impede, (to) restrain"
"location | hire, rental"
"reculer | stand, fallen, fell"
"volant | flying, robbing, stealing"
"assurance | insurance, insurance policy, covers"
"écraser | run, runs, ran"
bon voyage | have a good trip
"n'importe qui | anyone, anybody, just anyone"
grandes vacances | summer vacation
camping-car | campervan
"discours | speech, discourse, position"
"étrange | weird, bizarre, unusual"
"secouer | rocks, shaking, shake"
à tout à l'heure | see you later
parole | word
gros mot | swear word
"approuver | passed, agree, agreed"
"rejeter | throws, reject, fighting"
beau-frère | brother-in-law
utilisateur | user
"puissance | might, intensity, may"
"développer | developing, develop, to expand"
"augmentation | increase, raise"
"baisse | decrease, lower, drops"
c'est bon | it's fine
peu probable | unlikely
pour en revenir | getting back
"probable | likely, probable"
"émotion | emotion, feeling"
stagiaire | intern
quoi de neuf | what's new
"conclure | finish, to bring to an end, conclude"
"insulter | insult, insulting"
guêpe | wasp
"caillou | pebble, rocks"
potager | vegetable garden
nid | nest
"cerisier | cherry tree, cherry"
graine | seed
poirier | pear tree
"semer | sow, sowing"
noyau | pit
"ignorer | cut, ignores"
"racine | root, roots"
verger | orchard
variété | variety
Corse | Corsica
lavande | lavender
piquer | stung
olivier | olive tree
ruche | beehive
"cultiver | (to) be grown, grew, grow"
récolte | harvest
pommier | apple tree
"emporter | to go, take, bring"
"manière | style, way, manners"
"trahir | gave, sold, gives"
sincère | sincere
anneau | ring
"courage | courage, bravery"
"mépriser | to despise, despise, scorn"
sourcil | eyebrow
vernis à ongles | nail polish
orteil | toe
"apprécier | appreciate, to enjoy, sum"
"ongle | nail, fingernail"
tatouage | tattoo
ironique | sarcastic
"paniquer | panic, panicking"
aiguille | needle
"vider | (to) empty, emptying"
"précis | exact, specific, accurate"
"couvert | cloudy, overcast, covered"
salir | get dirty
impôt | tax
moquette | carpet
mise à jour | update
clou | nail
puzzle | puzzle
marteau | hammer
là-haut | up there
"risque | might, risk, risking"
"tortue | tortoise, turtle"
brésilien | Brazilian
"seriez | were, would be, feel"
"afficher | display, (to) display, displaying"
"baisser | lower, drops"
"serions | were, would be, looked"
chargeur | charger
vitesse | speed
impressionnant | impressive
au cas où | just in case
d'avance | to spare
"demi-heure | half-hour, half an hour"
remboursable | refundable
latin | Latin
grec | Greek
langue vivante | modern language
"auriez | would have, get, had"
impressionner | impress
tant | so much
aurions | would have
trimestre | trimester
"bulletin | report card, certificate"
stage | internship
master | master's
"contenu | contents, content"
"bavarder | chatting, chat"
réagir | react
regret | regret
"formation | training, group, puberty"
"bref | anyway, in short, brief"
version originale | original version
créativité | creativity
"limite | limit, terms"
"doubler | double, to pass, lines"
dialogue | dialogue
intrigue | plot
"régler | sort out, sort, adjusting"
en plus | in addition
oser | dare
stéréotype | stereotype
caméra | camera
"tournage | shoot, shot, filming"
"suggérer | suggest, argue, argues"
scénario | screenplay
inspirer | inspire
scanner | to scan
"opposé | opposite, pit ... against ..."
"demande | ask for, are asking, ask"
suggestion | suggestion
"convenir | fits, suit, agree"
interrompre | to interrupt
"argument | argument, point"
scandale | scandal
joindre | to reach
immobilier | real estate
agent | agent
"apparemment | apparently, seemingly"
rumeur | rumor
"candidat | applicant, candidate"
"pénible | painful, annoying"
nostalgique | nostalgic
dispute | argument
veuf | widowed
faute | fault
miracle | miracle
gendre | son-in-law
"belle-fille | stepdaughter, daughter-in-law"
temporaire | temporary
accoucher | give birth
"demi | half, and a half"
vive | long live
alliance | wedding ring
décès | death
faire-part | announcement
funérailles | funeral
enterré | buried
"décéder | die, passed, died"
de nos jours | nowadays
vieillir | grow old
ancêtre | ancestor
émouvant | moving
maison de retraite | retirement home
défi | challenge
bataille | battle
"survivre | surviving, survive"
"puissant | powerful, strong"
sain et sauf | safe
à propos | about
victime | victim
"défendre | defend, to defend, defending"
"secourir | rescue, rescuing"
"attaque | attack, attacks"
ouragan | hurricane
tremblement de terre | earthquake
"polluer | pollute, polluting"
"produire | produced, (to) produce, produce"
"fréquent | common, frequent"
climatique | climate
planète | planet
inondation | flood
militant | activist
"lutter | fight, fighting"
recyclé | recycled
climat | climate
environnemental | environmental
recyclage | recycling
stress | stress
ému | moved
"cimetière | cemetery, churchyard"
dragon | dragon
carnaval | carnival
réveillon | New Year's Eve
bûche | log
"attirer | attract, attracting"
"râler | grumble, grumbling"
poisson d'avril | April Fools' joke
fève | figurine
galette des rois | king cake
"avaler | swallow, bought"
"peine | pain, stretch"
abonnement | subscription
littérature | literature
mensuel | monthly
esprit | mind
poésie | poetry
"univers | universe, whole world, world"
poète | poet
"fiancé | fiancée, engaged, gotten engaged"
déguiser | to dress up
"répétition | rehearsal, repeating"
coutume | custom
à la fois | at the same time
"impatient | excited, impatient"
perruque | wig
c'est-à-dire | in other words
inattendu | unexpected
"prévenir | warning, (to) tell, telling"
"critique | criticizing, criticizes, review"
réaction | reaction
contrôleur | inspector
composter | validate
"ralentir | slowing down, to slow down, slower"
"poliment | politely, civilly"
Belgique | Belgium
correspondance | connection
à bord | on board
hôtesse de l'air | flight attendant
supplément | surcharge
steward | flight attendant
escale | layover
"réclamation | complaint, claim"
table à langer | changing table
comptoir | counter
embarquement | boarding
au-delà | beyond
"contenir | holding, contains, store"
crocodile | crocodile
poisson rouge | goldfish
"déguster | savor, sample"
cueillir | pick
bof | meh
charcuterie | cold cuts
ver | worm
"plateau | set, tray"
"poule | hen, group, goosebumps"
coq | rooster
menthe | mint
pondre | laid
grille-pain | toaster
"exploser | explode, explodes"
marmite | pot
puer | stink
au moins | at least
miam | yum
abricot | apricot
spécialité | specialty
framboise | raspberry
rien d'autre | nothing else
"cependant | however, nevertheless, yet"
livreur | delivery man
"insister | insisting, insist"
"autorisation | permission, authorization, leave"
patinoire | skating rink
"manège | games, carousel"
"croiser | crossed, running into, run into"
"moyens | mean, abilities, through"
loto | lottery
"pleuve | rains, rain"
"boutique | shop, boutique, place"
fleuriste | florist
parfumerie | perfume store
encre | ink
matériel | supplies
"colorier | color, colored, coloring"
présent | present
"atteindre | reach, achieving"
"abandonner | to abandon, to give up on, to give up"
virgule | comma
"résoudre | to solve, to resolve, clear"
"chiffre | number, figure"
"diviser | divide, dividing"
"cours magistral | lectures, lecture"
programme | curriculum
fac | college
"stop | stopped, stop"
covoiturage | carpool
péage | toll
"car | coach, because"
décalage horaire | jetlag
chambre d'hôtes | bed and breakfast
soûl | drunk
briquet | lighter
routine | routine
gendarmerie | police station
"accueil | welcome desk, welcome"
amende | fine
exprès | on purpose
justement | exactly
"accuser | accusing, accuse"
"accès | entrance, fits"
"permettez | allow, let"
réduit | reduced
"croix | cross, crosses"
spectaculaire | spectacular
prêtre | priest
messe | mass
"soi | oneself, yourself"
ruine | break
de devant | front
de derrière | back
sortie de secours | emergency exit
rive | bank
depuis que | ever since
parisien | Parisian
préservatif | condom
déodorant | deodorant
bien qu' | even though
fréquemment | frequently
"sirop | liquid medicine, syrup"
"je vous en prie | you're welcome, it was my pleasure"
bien que | even though
